State,Capitol,Region,US House Seats,Population,COVID Cases,COVID Deaths,Full Vaccination Rates,Median Household Income,Violent Crime Rates
Kentucky,Frankfort,South,6,4505836,1040420,12659,55.3,50589,259.1
Colorado,Denver,West,8,5773714,1171750,10768,67.8,72331,423.1
Mississippi,Jackson,South,4,2961279,673873,10707,49.7,45081,291.2
Utah,Salt Lake City,West,4,3271616,814388,4019,60.2,71621,260.7
Vermont,Montpelier,New England,1,643077,93492,507,79,61973,173.4
Maryland,Annapolis,Middle Atlantic,8,6177224,921283,12866,72.1,84805,399.9
Montana,Helena,West,2,1084225,220090,2966,55,54970,469.8
Oregon,Salem,West,6,4237256,559960,5916,67.5,62818,291.9
West Virginia,Charleston,Middle Atlantic,2,1793716,401796,5590,55.9,46711,355.9
New Hampshire,Concord,New England,2,1377529,254715,2123,68.4,76768,146.4
Rhode Island,Providence,New England,2,1097379,320617,3215,78.2,67167,230.8
Oklahoma,Oklahoma City,Southwest,5,3959353,866403,12927,54.7,52919,458.6
Kansas,Topeka,Midwest,4,2937880,660599,7290,58.6,59597,425
North Carolina,Raleigh,South,14,10439388,2177357,20108,58,54602,419.3
Indiana,Indianapolis,Midwest,9,6785528,1510955,20637,52.9,56303,357.7
Missouri,Jefferson City,Midwest,8,6154913,1236613,16775,54.1,55461,542.7
Connecticut,Hartford,New England,5,3605944,667230,9683,76.1,78444,181.6
Wisconsin,Madison,Midwest,8,5893718,1433225,11867,63.1,61747,323.4
Texas,Austin,Southwest,38,29145505,5746859,76443,58.3,61874,446.5
Illinois,Springfield,Midwest,17,12812508,2732720,33278,65.4,65886,425.9
Nebraska,Lincoln,Midwest,3,1961504,407804,3562,61.2,61439,334.1
Arkansas,Little Rock,South,4,3011524,701050,9470,52.4,47597,671.9
Iowa,Des Moines,Midwest,4,3190369,669705,8317,60,60523,303.5
Delaware,Dover,Middle Atlantic,1,989948,233843,2450,65.7,68287,431.9
Virginia,Richmond,Middle Atlantic,11,8631393,1434686,15853,70.2,74222,208
Georgia,Atlanta,South,14,10711908,1713655,32206,52.5,58700,400.1
Massachusetts,Boston,New England,9,7029917,1404214,21295,75.9,81215,308.8
Alabama,Montgomery,South,7,5024279,1104356,16792,49,50536,453.6
Wyoming,Cheyenne,West,1,576851,133495,1601,49.6,64049,234.2
Michigan,Lansing,Midwest,13,10077331,2082983,31275,57.8,57144,478
Louisiana,Baton Rouge,South,6,4657757,1097422,15283,51.4,49469,639.4
South Carolina,Columbia,South,7,5118425,1249632,15053,54.5,53199,530.7
Pennsylvania,Harrisburg,Middle Atlantic,17,13002700,2523589,39093,65.2,61744,389.5
Maine,Augusta,New England,2,1362359,164324,1691,77.2,57918,108.6
California,Sacramento,West,52,39538223,6997126,77225,68.3,75235,442
New Mexico,Santa Fe,Southwest,3,2117522,431887,6229,67.9,49754,778.3
New York,Albany,Middle Atlantic,26,20201249,4610434,62567,73.5,68486,363.8
Alaska,Juno,West,1,733391,177729,1007,58.1,77640,837.8
Hawaii,Honolulu,West,2,1455271,190678,1135,75.5,81275,254.2
Arizona,Phoenix,Southwest,9,7151502,1683915,25429,58.4,58945,654.8
New Jersey,Trenton,Middle Atlantic,12,9288994,2037690,30476,72,82545,195.4
Florida,Tallahassee,South,28,21538187,5242386,63569,64.7,55660,383.6
Washington,Olympia,West,10,7705281,1135778,10339,69.6,73775,293.7
Minnesota,St Paul,Midwest,8,5706494,1204929,11115,66.7,71306,277.5
Nevada,Carson City,West,4,3104614,607857,8709,58,60365,460.3
Idaho,Boise,West,2,1839106,352407,4317,47.6,55785,242.6
North Dakota,Bismarck,Midwest,1,779094,205338,2061,53.7,64894,329
Ohio,Columbus,Midwest,15,11799448,2460869,31245,56.4,56602,308.8
South Dakota,Pierre,Midwest,1,886667,211885,2573,58.5,58275,501.4
Tennessee,Nashville,South,9,6910840,1653144,21694,52.4,53320,672.7
